Format: Days, Expected Price, Expected Return, Probability of Breakeven
BNTX: 90, 376.79, 36.14, 0.6473
PFM: 90, 41.38, 3.82, 0.6472
WIZ: 90, 39.83, 6.4, 0.647
PNQI: 90, 227.82, 5.79, 0.6464
HYLS: 90, 48.49, 1.53, 0.6463
DVOL: 90, 33.59, 5.54, 0.645
BOTZ: 90, 38.37, 6.19, 0.6448
BSCN: 90, 21.7, 1.16, 0.6441
VGIT: 90, 66.94, 0.8, 0.644
PWP: 90, 13.74, 7.99, 0.6437
DRIV: 90, 32.86, 6.84, 0.6427
BHAC: 90, 9.89, 0.91, 0.6422
DWAW: 90, 41.1, 7.21, 0.6421
TDIV: 90, 66.64, 4.93, 0.6418
LGTOU: 90, 10.24, 1.45, 0.6418
SANB: 90, 9.98, 0.81, 0.6418
ADP: 90, 264.48, 6.23, 0.6414
TMUS: 90, 126.47, 6.98, 0.6413
PAYX: 90, 146.9, 6.48, 0.6408
CIBR: 90, 56.26, 5.44, 0.6408
CHTR: 90, 705.58, 6.99, 0.6401
BSCO: 90, 22.07, 1.25, 0.64
RILYK: 90, 25.85, 1.52, 0.6396
TTWO: 90, 198.3, 9.08, 0.6394
MCAAU: 90, 10.34, 1.19, 0.6394
SUSB: 90, 25.88, 0.94, 0.6392
RNLC: 90, 37.08, 4.86, 0.639
CHDN: 90, 266.08, 9.97, 0.6389
BSCQ: 90, 21.41, 1.3, 0.6387
LRCX: 90, 815.93, 10.93, 0.6385
USIG: 90, 60.48, 1.38, 0.6385
SKOR: 90, 53.3, 1.12, 0.6384
QCLR: 90, 26.9, 2.78, 0.6383
MEDP: 90, 253.33, 12.97, 0.6382
PTF: 90, 181.46, 7.46, 0.6382
FTC: 90, 126.87, 4.94, 0.6379
CLOU: 90, 29.17, 7.38, 0.6378
MCAEU: 90, 10.72, 2.56, 0.6375
CELH: 90, 94.78, 22.86, 0.6374
WINC: 90, 26.24, 1.43, 0.6374
VMBS: 90, 53.12, 0.7, 0.6374
FOXF: 90, 185.99, 11.2, 0.6367
QQXT: 90, 92.38, 4.2, 0.6365
VCXAU: 90, 11.07, 5.14, 0.6364
COKE: 90, 683.5, 9.88, 0.6363
LIONU: 90, 10.25, 1.43, 0.6362
ATCOL: 90, 26.89, 1.84, 0.6357
LULU: 90, 445.61, 10.01, 0.6356
KLAC: 90, 481.94, 9.72, 0.6355
TRNS: 90, 104.49, 10.59, 0.6353
GIW: 90, 10.07, 1.61, 0.6353
PEGA: 90, 123.41, 8.47, 0.635
IGSB: 90, 54.28, 0.76, 0.6349
VTC: 90, 92.07, 1.71, 0.6346
SNPO: 90, 24.86, 17.34, 0.6343
UPST: 90, 260.49, 43.22, 0.6342
RGEN: 90, 293.58, 12.15, 0.634
FAD: 90, 131.58, 4.83, 0.634
GRID: 90, 109.44, 5.85, 0.6339
CGABL: 90, 25.8, 1.73, 0.6336
FTSL: 90, 48.47, 1.21, 0.6335
FVC: 90, 39.52, 4.1, 0.6331
ESLT: 90, 185.99, 5.98, 0.633
POWWP: 90, 28.53, 4.12, 0.6329
JKHY: 90, 177.36, 5.37, 0.6327
BND: 90, 85.42, 0.98, 0.6326
PSCH: 90, 190.86, 5.5, 0.6323
TXN: 90, 205.54, 7.16, 0.6317
ALGN: 90, 739.92, 11.7, 0.6315
PYPL: 90, 208.19, 8.75, 0.6314
CRVL: 90, 227.57, 8.56, 0.6313
TSLA: 90, 1283.49, 15.37, 0.6311
AACIU: 90, 10.01, 1.04, 0.6309
FDNI: 90, 37.89, 7.24, 0.6308
SHQA: 90, 9.85, 1.23, 0.6308
WING: 90, 192.42, 10.54, 0.6305
VMAC: 90, 10.32, 1.3, 0.6302
CSGP: 90, 86.12, 7.28, 0.6301
MTRYU: 90, 10.34, 1.29, 0.6297
CSQ: 90, 20.64, 5.67, 0.6296
PSCT: 90, 165.29, 5.66, 0.6288
ACWI: 90, 110.42, 3.86, 0.6288
SMPL: 90, 46.29, 9.68, 0.6286
PHO: 90, 63.6, 4.55, 0.6285
ISAA: 90, 10.11, 0.9, 0.6285
ZBRA: 90, 667.62, 9.96, 0.6284
CFA: 90, 81.12, 4.08, 0.6282
NUAN: 90, 59.9, 7.64, 0.6281
PLMR: 90, 74.92, 14.79, 0.6274
OMCL: 90, 197.71, 8.67, 0.6274
TBK: 90, 134.59, 10.3, 0.6273
JWEL: 90, 22.16, 25.08, 0.6272
PCTY: 90, 266.31, 10.93, 0.6272
GRCY: 90, 10.51, 1.5, 0.6272
JSML: 90, 68.25, 5.51, 0.6269
SNUG: 90, 28.97, 3.04, 0.6268
EBIZ: 90, 29.08, 6.39, 0.6266
DPCSU: 90, 10.28, 1.58, 0.6266
ARTAU: 90, 10.4, 1.53, 0.6265
FTXD: 90, 37.79, 4.48, 0.6262
SUSC: 90, 27.67, 1.54, 0.6261
SIER: 90, 9.82, 0.51, 0.6261
PRFT: 90, 147.47, 9.6, 0.6258
QCLN: 90, 71.75, 6.92, 0.6255
SBAC: 90, 410.28, 6.17, 0.6254
BSDE: 90, 26.24, 1.7, 0.6253
TRUP: 90, 152.58, 13.61, 0.6252
XLNX: 90, 238.06, 8.59, 0.6251
OCDX: 90, 22.99, 9.48, 0.625
BSJN: 90, 25.7, 1.58, 0.625
NXTG: 90, 86.72, 4.32, 0.6247
WMG: 90, 47.27, 8.4, 0.6245
FB: 90, 370.36, 7.4, 0.6244
DKDCA: 90, 10.23, 1.33, 0.6244
CME: 90, 243.22, 5.8, 0.6242
HUDI: 90, 55.88, 42.86, 0.6241
CONE: 90, 96.88, 6.91, 0.6241
MELI: 90, 1492.08, 11.29, 0.6239
NSSC: 90, 56.96, 11.49, 0.6238
GTXAP: 90, 8.81, 4.48, 0.6238
FSZ: 90, 74.2, 3.71, 0.623
RDVY: 90, 54.65, 4.74, 0.6228
MPACU: 90, 10.85, 2.52, 0.6228
AGNG: 90, 30.23, 3.86, 0.6227
ASAX: 90, 9.97, 0.88, 0.6225
BSJO: 90, 25.39, 1.58, 0.6224
PRN: 90, 121.95, 4.8, 0.6222
FULTP: 90, 26.99, 1.92, 0.6218
VIGI: 90, 88.77, 3.56, 0.6214
APPF: 90, 139.82, 11.22, 0.6212
PSCC: 90, 115.56, 4.12, 0.6212
FNY: 90, 77.82, 4.67, 0.6211
AMAT: 90, 177.74, 9.43, 0.6208
BSJM: 90, 23.56, 1.39, 0.6205
HERD: 90, 37.32, 5.18, 0.6204
ALTR: 90, 84.42, 11.78, 0.6203
LVHD: 90, 41.44, 3.66, 0.6203
GMAB: 90, 43.67, 8.85, 0.6202
ATLCP: 90, 25.43, 1.09, 0.6201
LDSF: 90, 20.11, 0.6, 0.62
CNNB: 90, 15.65, 7.01, 0.6199
ROBT: 90, 58.64, 5.61, 0.6198
BFIT: 90, 29.31, 4.02, 0.6196
ABMD: 90, 406.98, 11.09, 0.6194
SBUX: 90, 123.22, 5.55, 0.6192
WDFC: 90, 260.77, 5.96, 0.619
LBRDA: 90, 171.39, 5.97, 0.6189
AUVIP: 90, 26.23, 3.42, 0.6188
CNOBP: 90, 26.63, 2.07, 0.6187
UFPI: 90, 102.33, 8.73, 0.6186
SOCL: 90, 56.01, 5.35, 0.6178
AUDC: 90, 38.76, 10.19, 0.6172
BLCN: 90, 44.73, 5.19, 0.6172
QQQX: 90, 31.92, 4.47, 0.617
FAST: 90, 68.36, 5.76, 0.6167
QRTEP: 90, 104.97, 2.08, 0.6166
FEX: 90, 96.31, 3.98, 0.6162
USLB: 90, 43.43, 3.48, 0.6161
PTLO: 90, 57.19, 35.62, 0.6159
ORLY: 90, 756.38, 6.38, 0.6159
TBSA: 90, 24.4, 60.0, 0.6158
ITOS: 90, 57.11, 19.29, 0.6158
ASPA: 90, 9.89, 0.71, 0.6158
IUSS: 90, 42.08, 6.14, 0.6156
